alim_nom_fr,Calories,Proteines,Glucides,Lipides
"Chips de pommes de terre nature ou aromatisées, à l'ancienne",570,"5,62","49,8","37,6"
"Chips de pommes de terre et assimilés nature ou aromatisées, allégées en matière grasse",463,"6,58","62,1","19,8"
Rostis ou Galette de pomme de terre,182,"2,38","22,5","8,3"
"Pomme de terre duchesse, surgelée, crue",178,"2,8","23,2","7,72"
"Pomme de terre sautée/ rissolée, pré-frites, surgelée, crue",135,"2,32","20,9","4,2"
"Frites de pommes de terre, surgelées, préfrites, pour cuisson rôtie/ au four",154,"2,41","23,4","5,09"
"Frites de pommes de terre, surgelées, préfrites, pour cuisson micro-ondes",254,"3,5",34,"10,8"
"Frites de pommes de terre, surgelées, préfrites, pour cuisson en friteuse",244,"3,12","29,1","12,1"
"Pomme de terre, purée (aliment moyen)","91,8","2,11","12,7","3,25"
"Pomme de terre, cuite (aliment moyen)","93,2","2,01","17,2","1,37"
"Patate douce, crue","86,3","1,51","18,3","0,15"
"Patate douce, cuite","62,8","1,69","12,2","0,15"
"Patate douce, purée, cuisinée à la crème","79,8","1,1","12,1",2
"Topinambour, cuit","81,9","1,8",16,"0,7"
"Topinambour, cru","60,7","1,94","11,5","0,31"
"Banane plantain, cuite",125,"0,79","28,9","0,18"
"Taro, tubercule, cru",107,"1,5","22,8","0,2"
"Taro, tubercule, cuit",131,"0,52","29,5","0,11"
"Igname, épluchée, crue",111,"1,53","23,8","0,17"
"Igname, épluchée, bouillie/cuite à l'eau",109,"1,49","23,6","0,14"
"Manioc, racine crue",157,"1,31","36,3","0,29"
"Manioc, racine cuite",132,"0,69",32,"0,043"
"Fruit à pain, cru",105,"1,07","22,2","0,23"
"Haricot coco, bouilli/cuit à l'eau",131,"9,63","13,7","0,5"
"Fève, bouillie/cuite à l'eau","82,9","8,06","9,35","0,8"
"Haricot blanc, bouilli/cuit à l'eau",112,"6,75",12,"1,1"
"Haricot rouge, bouilli/cuit à l'eau",116,"9,63","12,3","0,6"
"Lentille, bouillie/cuite à l'eau",-,"9,02","12,2","0,38"
"Pois cassé, bouilli/cuit à l'eau",-,"8,6","16,3","1,49"
"Pois chiche, bouilli/cuit à l'eau",147,"8,31","17,7",3
"Haricot flageolet, appertisé, égouttés",-,"6,1","12,2","0,79"
"Lentille, cuisinée, appertisée, égouttée",-,"6,28","11,8","0,64"
"Haricot blanc, appertisé, égoutté",-,"6,57","10,9","0,4"
"Haricot flageolet, bouilli/cuit à l'eau",112,"6,75",12,"1,1"
"Haricot rouge, appertisé, égoutté",-,"8,31",13,"0,97"
"Haricot mungo, bouilli/cuit à l'eau",-,"7,54","11,9","0,55"
"Pois chiche, appertisé, égoutté",-,"6,74",15,"2,68"
"Haricot flageolet, vert, bouilli/cuit à l'eau",-,"5,63","15,8","1,1"
"Fève, pelée, surgelée, cuite à l'eau",-,"6,4",9,"0,5"
"Fève, surgelée, bouillie/cuite à l'eau",-,"5,6","7,4","< 0,5"
"Lentille verte, bouillie/cuite à l'eau",127,"10,1","16,2","0,58"
"Lentille blonde, bouillie/cuite à l'eau",-,"9,7","16,3","0,7"
"Lentille corail, bouillie/cuite à l'eau",-,"10,6",15,"0,5"
"Légume sec, cuit (aliment moyen)",,"8,38","12,1","0,62"
"Fève à écosser, fraîche",-,"6,76","4,2","0,67"
"Lentille, germée",-,"8,86",19,"0,58"
"Lupin, graine crue",-,"36,2","21,5","9,74"
"Fève, fraîche, surgelée",-,"7,5","7,95","0,22"
"Haricot flageolet, surgelé",-,"9,32","25,6","0,7"
"Fève, pelée, surgelée, crue",-,"14,9","14,9","0,3"
"Haricot blanc, sec",-,"19,1","43,9","1,78"
"Lentille, sèche",-,"25,4","50,6","1,34"
"Pois cassé, sec",-,"22,8",52,"1,44"
"Pois chiche, sec",-,"20,5","47,5","5,85"
"Fève, sèche",-,"26,1","33,3","1,53"
"Haricot rouge, sec",-,"22,5","46,1","1,06"
"Haricot mungo, sec",-,"24,5","47,6","1,42"
"Lentille corail, sèche",-,"27,7","44,9","0,8"
"Haricot flageolet, vert, sec",-,"19,1","42,1","2,6"
"Lentille verte, sèche",-,"25,1","44,5","1,8"
"Lentille blonde, sèche",-,"26,1","48,3","1,9"
"Abricot, dénoyauté, cru","45,9","0,81","9,01","< 0,5"
"Ananas, pulpe, cru","54,4","< 0,5","11,7","< 0,5"
"Banane, pulpe, crue","90,5","1,06","19,7","< 0,5"
"Cassis, cru",-,"1,33","9,68","0,86"
"Cerise, dénoyautée, crue","55,7","0,81",13,"< 0,3"
"Citron, pulpe, cru","27,6","< 0,5","1,56","< 0,5"
"Coing, cru",-,"0,51","13,4","0,1"
"Figue, crue","69,4","1,19","13,5","< 0,5"
"Fraise, crue","38,6","0,63","6,03","< 0,5"
"Framboise, crue","49,2","1,19","5,83","0,8"
"Fruit de la passion ou maracudja, pulpe et pépins, cru",101,"2,13","10,9",3
"Grenade, pulpe et pépins, crue","80,6","1,44","14,3","1,2"
"Groseille, crue","68,5","1,56","7,06","0,7"
"Groseille à maquereau, crue",-,"0,75","4,88","0,59"
"Kiwi, pulpe et graines, cru","60,5","0,88",11,"0,6"
"Litchi, pulpe, cru",81,"1,13","16,1","< 0,5"
"Clémentine ou Mandarine, pulpe, crue","47,3","0,81","9,17","< 0,5"
"Mangue, pulpe, crue","73,9","0,63","14,3","< 0,5"
"Melon cantaloup (par ex.: Charentais, de Cavaillon) pulpe, cru","62,7","1,13","14,8","< 0,5"
"Mirabelle, crue","76,9","0,63",18,"< 0,5"
"Myrtille, crue","57,7","0,87","10,6","0,33"
"Mûre (de ronce), crue","47,3","1,13","6,53","0,7"
"Nectarine ou brugnon, pulpe et peau, crue",-,"1,16","8,9","0,31"
"Orange, pulpe, crue","45,5","0,75","8,03","< 0,5"
"Papaye, pulpe, crue","42,2","0,75","8,53","< 0,3"
"Pastèque, pulpe, crue","38,9","0,69","8,33","< 0,5"
"Poire, pulpe et peau, crue",-,"0,49","10,9","0,27"
"Pomme, pulpe et peau, crue",-,"0,25","11,6","0,25"
"Pomelo (dit Pamplemousse), pulpe, cru","39,8","< 0,5","8,02","< 0,5"
"Prune Reine-Claude, crue","71,3","0,94","16,4","< 0,5"
"Pêche, pulpe et peau, crue",-,"1,08",9,"0,33"
"Raisin blanc, à gros grain (type Italia ou Dattier), cru","73,4","0,75","16,6","< 0,5"
"Raisin noir, cru",-,"0,63","15,6","0,4"
"Rhubarbe, tige, crue",-,"0,78","1,47","0,23"
"Pomme, pulpe, crue",-,"0,27","10,7","0,13"
"Carambole, pulpe, crue",-,"1,15","3,9","0,32"
"Anone ou chérimole, pulpe, crue",-,"1,72","15,4","0,64"
"Feijoa, pulpe, crue",-,"0,71","8,2","0,42"
"Figue de Barbarie, pulpe et graines, crue",-,"0,37",6,"0,31"
"Kaki, pulpe, cru","68,6","0,88","14,3","< 0,3"
"Citron vert ou Lime, pulpe, cru","40,2","1,13","3,14","< 0,3"
"Mûre noire (du mûrier), crue",-,"1,44","8,1","0,39"
"Ramboutan, pulpe, crue",-,"0,65",20,"0,21"
"Tamarin, fruit mûr, pulpe, cru",-,"2,65","57,4","0,6"
"Goyave, pulpe, crue",-,"1,59","9,02","0,73"
"Pomme Canada, pulpe, crue",-,"0,4","11,6","0,1"
"Pomme Golden, pulpe, crue","54,9","< 0,5","11,7","< 0,5"
"Prune, crue",-,"0,66","9,92","0,29"
"Raisin Chasselas, cru","79,1","0,75","16,9","0,5"
"Poire, pulpe, crue",-,"0,3","10,4","0,1"
"Griotte, crue",-,"1,1","10,5","0,3"
"Raisin, cru",-,"0,72","15,7","0,16"
"Canneberge ou cranberry, crue",-,"0,75","7,6","0,13"
"Pomme Granny Smith, pulpe, crue","53,9","< 0,5","11,4","< 0,5"
"Pomme Granny Smith, pulpe et peau, crue","51,5","< 0,5","10,7","< 0,5"
"Citron, zeste, cru",-,"1,38","5,4","0,3"
"Sureau, baie, crue",-,"0,64","11,4","0,5"
"Myrtille, surgelée, crue",-,"0,68","8,9","0,43"
"Salade de fruits, crue",-,"0,5","11,4","0,15"
"Framboise, surgelée, crue",-,"1,16","6,43","0,8"
"Nectarine ou brugnon, jaune, pulpe et peau, crue","51,3","0,69","11,3","< 0,5"
"Nectarine ou brugnon, blanche, pulpe et peau, crue","51,8","0,81","11,4","< 0,5"
"Mûre (de ronce), surgelée, crue",-,"1,22","10,7","0,42"
"Pomelo (dit Pamplemousse) jaune, pulpe, cru",-,"0,69","7,31","0,1"
"Pomelo (dit Pamplemousse) rose, pulpe, cru",-,"0,77","6,2","0,14"
"Poire Conférence, pulpe, crue","53,1","< 0,5","11,4","< 0,5"
"Poire Williams, pulpe, crue","54,1","< 0,5","11,5","< 0,5"
"Pomme Chantecler, pulpe, crue","51,8","< 0,5","11,2","< 0,5"
"Pomme Gala, pulpe, crue","54,5","< 0,5","11,9","< 0,5"
"Pomme Pink lady, pulpe, crue","60,1","< 0,5","12,8","< 0,5"
"Pêche blanche, pulpe et peau, crue","47,2","0,69","9,48","< 0,5"
"Pêche blanche, pulpe, crue","46,1","0,63","9,63","< 0,5"
"Pêche jaune, pulpe, crue","46,3","0,69","9,8","< 0,5"
"Dourian, pulpe, cru",-,"1,47","23,3","5,33"
"Kumquat, sans pépin, cru",-,"1,57","9,6","1,18"
"Longan, pulpe, cru",-,"1,31",14,"0,1"
"Pamplemousse chinois, pulpe, cru",-,"0,76","8,62","0,04"
"Pomme Golden, pulpe et peau, crue","57,1","< 0,5","12,8","< 0,5"
"Raisin noir Muscat, cru","90,1","0,69",20,"< 0,5"
"Melon miel ou melon honeydew, pulpe, cru",-,"0,58","4,3","0,17"
"Fruits rouges, crus (framboises, fraises, groseilles, cassis)",-,"1,11","7,88","0,31"
Fruit cru (aliment moyen),"59,5","0,7","11,6","0,26"
Compote de pomme,102,"0,23","24,4","0,21"
"Rhubarbe, tige, cuite, sucrée",-,"0,39","29,2","0,05"
"Compote, tout type de fruits",102,"< 0,5","23,9","0,092"
"Compote, tout type de fruits, allégée en sucres",66,"< 0,5","15,3","0,08"
"Chayote ou christophine ou chouchou, crue",-,"0,72","2,8","0,12"
"Compote, tout type de fruits, allégée en sucres, rayon frais",-,"0,32","14,9","0,48"
"Compote de pomme, allégée en sucres","65,1","< 0,5","15,1","0,08"
"Dessert de fruits, tout type de fruits (en taux de sucres : compotes allégées en sucres < desserts de fruits < compotes allégée)",-,"0,32","19,5","0,2"
"Purée de fruits, tout type de fruits, type ""compote sans sucres ajoutés""","58,9","< 0,5","13,4","< 0,3"
"Spécialité de fruits divers, sucrée (mélange pulpes et/ou purées de fruits, mais toujours avec autre ingrédient)",-,"0,41","16,9","0,56"
"Pomme, pulpe, rôtie/cuite au four",-,"< 0,5",21,"< 0,5"
"Pomme, pulpe, bouillie/cuite à l'eau",-,"0,26","11,2","0,36"
"Compote ou assimilé, tout type de fruits, teneur en sucre (allégée en sucres ou non, sans sucres ajoutés...) inconnue (aliment moyen)","80,1","0,25","18,6","0,15"
"Purée de pommes, type ""compote sans sucres ajoutés""","56,4","1,13","11,7","< 0,3"
"Coulis de fruits rouges (framboises, fraises, groseilles, cassis)",-,"0,8","25,1","0,54"
"Abricot au sirop (sans précision sur léger ou classique), appertisé, égoutté (aliment moyen)",,"0,5","16,2","0,25"
"Macédoine ou cocktail ou salade de fruits, au sirop (sans précision sur léger ou classique), appertisé, égouttée (aliment moyen)",,"0,25","16,2","0,25"
"Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, égoutté",-,"< 0,5","17,4","< 0,5"
"Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, non égoutté",-,"< 0,5","18,3","< 0,5"
"Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, égoutté",-,"< 0,5","14,4","< 0,5"
"Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, non égoutté",-,"< 0,5","14,5","0,061"
"Abricot au sirop léger, appertisé, égoutté",-,"0,94","13,7","< 0,5"
"Abricot au sirop léger, appertisé, non égoutté",-,"0,81",14,"0,043"
"Abricot au sirop, appertisé, égoutté",-,"0,5","16,2","< 0,5"
"Abricot au sirop, appertisé, non égoutté",-,"0,29","16,6","< 0,5"
"Ananas au jus d'ananas, égoutté, appertisé",-,"< 0,5","13,6","< 0,5"
"Ananas au jus d'ananas, appertisé, non égoutté",-,"< 0,5","13,6","< 0,5"
"Ananas au sirop léger, appertisé, égoutté",-,"< 0,5","15,9","< 0,5"
"Ananas au sirop léger, appertisé, non égoutté",-,"< 0,5",16,"0,078"
"Pêche au sirop léger, appertisée, égouttée",-,"0,5","13,8","< 0,5"
"Pêche au sirop léger, appertisée, non égouttée",-,"0,31","14,1","0,038"
"Poire au sirop léger, appertisée, égouttée","64,9","< 0,5","13,9","0,4"
"Poire au sirop léger, appertisée, non égouttée",-,"0,3","14,5","0,12"
"Abricot, dénoyauté, sec",239,"2,88","59,1","0,5"
"Datte, pulpe et peau, sèche",-,"1,81","64,7","0,25"
"Figue, sèche",-,"2,99","54,3","0,87"
"Pruneau, sec",229,"1,63","55,4","0,4"
"Raisin, sec",321,3,"73,2","0,9"
"Mélange apéritif de fruits exotiques, sec",389,"2,19","69,5","10,5"
"Banane, pulpe, sèche",-,"3,89","78,4","1,81"
"Pomme, sèche",-,"0,78","57,2","0,31"
"Pêche, sèche",-,5,"68,9",1
"Canneberge ou cranberry, séchée, sucrée",333,"< 0,5","76,4",1
"Abricot, dénoyauté, sec, moelleux (réhydraté à 35-45%)",200,"2,31","51,1","0,4"
"Abricot pays, pulpe, au sirop, appertisé, non égoutté, prélevé à la Martinique",-,"0,28","13,3","0,1"
"Abricot pays, pulpe, cru, prélevé à la Martinique",-,"0,48","10,8","0,05"
"Ananas, pulpe, cru , prélevé à la Martinique",-,"0,56",-,0
"Caïmite, pulpe, cru, prélevé à la Martinique",-,"0,31",-,"2,87"
"Cerise acérola, pulpe, crue, prélevée à la Martinique",-,"0,56",-,"0,097"
"Chadèque, pulpe, cru, prélevé à la Martinique",-,"0,48",-,"0,3"
"Chips d'abricot pays, pulpe, prélevé à la Martinique",-,"0,96","68,7","18,7"
"Goyave, pulpe, purée, prélevée à la Martinique",-,"0,83",-,"0,0067"
"Jus de carambole, prélevé à la Martinique, jus filtré",-,"4,52",-,"0,15"
"Jus de carambole, prélevée à la Martinique, jus non filtré",-,"0,063",-,"0,03"
"Jus de citron punch (variété petit calibre), pur jus, prélevé à la Martinique",-,"0,48",-,"0,14"
"Jus de citron vert (variété gros calibre), pur jus, prélevé à la Martinique",-,"0,69",-,"0,46"
"Jus de corossol, prélevé à la Martinique",-,"0,65",-,"0,43"
"Jus de fruit de la passion ou maracudja, prélevé à la Martinique, pur jus",-,"1,08",-,"0,37"
"Jus de grenade, prélevée à la Martinique",-,"0,69",-,0
"Jus de lime, pur jus, prélevé à la Martinique",-,"0,35",-,"0,57"
"Jus de mandarine commune, pur jus filtré pasteurisé, prélevée à la Martinique",-,-,-,-
"Jus de mandarine commune, pur jus filtré, prélevée à la Martinique",-,"0,61","8,63","0,57"
"Jus de mandarine macaque, pur jus filtré, prélevée à la Martinique",-,"0,6","10,8",0
"Jus de moubin, pur jus, prélevé à la Martinique",-,"0,88",-,"0,19"
"Jus de pamplemousse (variété locale), pur jus, prélevé à la Martinique",-,"0,42",-,"0,19"
"Jus de prune de cythère verte ""géante"" (variété locale), fruit mûr, pur jus filtré, prélevée à la Martinique",-,"0,29","7,13","0,19"
"Jus de prune de cythère verte ""géante"" (variété locale), fruit vert, pur jus filtré, prélevée à la Martinique",-,"0,44","6,55","0,28"
"Jus de prune de cythère verte ""naine"" (variété hybride), fruit mûr, pur jus filtré, prélevée à la Martinique",-,"0,69","9,97","0,21"
"Jus de prune de cythère verte ""naine"" (variété hybride), fruit vert, pur jus filtré, prélevée à la Martinique",-,"0,67","6,34","0,26"
"Mandarine commune, pulpe, au sirop, appertisée, non égouttée, prélevée à la Martinique",-,-,-,-
"Mango bassignac, pulpe, cru, prélevé à la Martinique",-,"0,32","18,5",traces
"Mango moussache, pulpe, cru, prélevé à la Martinique",-,"1,28","20,9",traces
"Mangue julie, pulpe, crue, prélevée à la Martinique",-,"0,71","18,3",traces
"Mangue verte, pulpe, crue, prélevée à la Martinique",-,"1,31","12,2",traces
"Melon, pulpe, cru, prélevé à la Martinique",-,"1,08",-,"0,047"
"Orange (variété locale), pulpe, prélevée à la Martinique",-,"0,6",-,"0,67"
"Orange amère, pulpe, crue, prélevée à la Martinique",-,"0,73",-,"0,43"
"Pastèque, pulpe, crue, prélevée à la Martinique",-,"0,77",-,"0,26"
"Pomme cajou, pulpe, crue, prélevée à la Martinique",-,"0,79",-,"0,11"
"Pomme cannelle,  pulpe, crue, prélevée à la Martinique",-,"1,48",-,"0,57"
"Pomme d'eau ou pomme malaca, pulpe, crue, prélevée à la Martinique",-,"0,44",-,"0,023"
"Pomme liane, pulpe, crue, prélevée à la Martinique",-,"0,88",-,"0,22"
"Prune de cythère, mûre, fruit entier, crue, prélevée à la Martinique",-,"0,54",-,"0,03"
"Prune de cythère, verte ou immature, fruit entier, crue, prélevée à la Martinique",-,"0,6",-,"0,07"
"Jacques, pulpe, cru, prélevé à la Martinique",-,"1,98",-,"0,21"
"Mangue José, pulpe, crue, prélevée à La Réunion (Mangifera indica L.)","88,8","0,75","19,3","0,5"
"Ananas Victoria ou ananas Queen Victoria, pulpe crue, prélevé à La Réunion Ananas comosus (L.) merr var. Queen)","71,8","0,94","15,1","< 0,3"
"Papaye Colombo (fruit mûr), pulpe sans pépin, crue, prélevée à La Réunion (Carica papaya L.)",40,"0,56","7,88","< 0,3"
Farine de châtaigne,-,"6,1","70,4","3,43"
Amande (avec peau),-,"22,6","9,51","51,3"
Cacahuète ou Arachide,-,"26,1","14,8","49,1"
"Cacahuète, grillée, salée",-,"26,2",15,50
Noisette,-,17,"7,16","56,9"
"Noix, séchée, cerneaux",-,"15,7","6,88","67,3"
"Noix de coco, amande mûre, fraîche",-,"3,93","6,22","33,5"
"Noix de coco, amande, sèche",-,"7,8","8,55","66,3"
Noix du Brésil,-,"16,9","6,17","66,1"
"Pistache, grillée, salée",-,"22,3","15,9","49,5"
"Sésame, graine",-,"20,8","9,85","49,7"
"Tournesol, graine",-,"25,1","10,1","55,5"
Crème de marrons,-,"1,51",55,"0,67"
"Noix de coco, amande immature, fraîche",-,"3,93","6,22","33,5"
"Crème de marrons vanillée, appertisée",-,"1,13","59,8","0,7"
Mélange apéritif de graines salées et raisins secs,560,"19,6","27,1","39,6"
"Noix de cajou, grillée, salée",-,18,"26,7","49,5"
"Châtaigne, bouillie/cuite à l'eau",-,"2,36",23,"1,38"
"Châtaigne, grillée",-,"3,74","47,9","2,2"
"Noix, fraîche",-,"12,9","9,94","31,8"
"Châtaigne, crue",-,"2,13","36,5","2,23"
Pignon de pin,-,"16,2","6,31",65
Noix de pécan,-,"11,3","5,43","72,6"
Noix de macadamia,-,"9,33","5,22","75,8"
"Cucurbitacées, graine",-,"35,6","4,71","49,1"
"Luzerne, graine germée",-,"3,87","0,91","0,7"
"Luzerne, graine",-,35,"39,3","12,6"
Noisette grillée,-,17,"5,21",66
"Lin, graine",-,"23,9","6,6","36,6"
"Sésame, graine décortiquée",-,"24,9","4,5","56,1"
"Cacahuète, grillée à sec, salée",-,"24,8","18,2","47,7"
"Sésame, grillé, graine décortiquée",-,20,"9,14",48
"Châtaigne ou Marron, appertisé",-,"2,31","28,8","1,4"
"Amande, mondée, émondée ou blanchie",-,"25,8","8,76","52,5"
"Amande, grillée, salée",-,"24,1","8,72","53,9"
"Noix de macadamia, grillée, salée",-,"8,3","9,95","70,2"
"Pistache, grillée",-,"21,7","18,6","47,4"
"Tournesol, graine, grillé, salé",-,"22,8","15,1","49,8"
"Noix de pécan, salées",-,12,5,73
"Chia, graine, séchée",-,"19,5","7,72","30,7"
Mélange apéritif de graines (non salées) et fruits séchés,-,"9,78","32,2","26,3"
Mélange apéritif de graines (non salées) et raisins secs,541,"14,8","31,8","37,2"
"Noisette grillée, salée",-,"15,8","7,67","61,2"
"Lin, brun, graine",-,"21,3","3,56","42,2"
"Cacahuète, grillée, sans sel ajouté",-,"26,8","11,3","51,9"
"Noix de cajou, grillée, non salée",618,"20,5","21,3","48,1"
"Noix de cajou, grillée à sec, non salée",630,"20,5","23,5",49
"Pâte d'amande, préemballée",432,7,"70,3","13,5"
Beurre de cacahuète ou Pâte d'arachide,-,"25,4","16,1","52,5"
Tahin ou Purée de sésame,-,"20,3","13,8","53,4"
"Arachide, bouillie/cuite à l'eau, salée",-,"15,5","9,54",22
"Soja, graine entière",432,"37,8","20,8","19,2"
"Blé dur précuit, grains entiers, cuit, non salé",149,"5,94","27,4","0,9"
"Nouilles asiatiques cuites, aromatisées",147,"5,12","18,8","4,3"
"Pâtes ou nouilles asiatiques au blé, cuites, nature, non salées",165,"3,75","21,4","6,9"
"Riz complet, cuit, non salé",158,"3,38","32,6",1
"Riz blanc, cuit, non salé",145,"3,06","31,8","0,41"
"Riz blanc étuvé, cuit, non salé",146,"3,1","31,7","0,56"
"Riz rouge, cuit, non salé",141,"3,63","28,2","0,69"
"Riz sauvage, cuit, non salé",102,"3,99","19,7","0,34"
"Riz thaï, cuit, non salé",143,"3,06","30,5","0,7"
"Riz basmati, cuit, non salé",117,"2,88","24,4","0,6"
"Flocons d'avoine, bouillis/cuits à l'eau","75,5","2,72","11,9","1,52"
"Orge perlée, bouilli/cuite à l'eau, non salée",119,"2,42","24,4","0,44"
"Mil, cuit, non salé",116,"3,76","22,4",1
"Quinoa, bouilli/cuit à l'eau, non salé",149,5,"27,9","1,1"
"Polenta ou semoule de maïs, cuite, non salée","77,5","1,38","16,9","< 0,3"
"Graine de couscous (semoule de blé dur précuite), cuite, non salée",157,5,31,1
"Boulgour de blé, cuit, non salé",111,4,"21,7","0,5"
"Pâtes sèches standard, cuites, non salées",126,"4,38",25,"0,55"
"Pâtes fraîches, aux oeufs, cuites, non salées",168,"6,31",32,"1,3"
"Pâtes sèches, aux oeufs, cuites, non salées",134,"4,94",23,2
"Pâtes sèches, sans gluten, cuites, non salées",163,"3,25","34,4","1,1"
"Pâtes sèches, au blé complet, cuites, non salées",128,"4,88","23,4","0,9"
"Pâtes, sans gluten, à base de riz et maïs, cuites à l'eau, non salées",170,"3,38","36,6","0,8"
"Pâtes, sans gluten, à base de lentilles corail, cuites à l'eau, non salées",168,"12,6","25,1","0,8"
"Vermicelle de riz, cuite, non salée","89,3","1,5","20,1","< 0,5"
"Vermicelle de soja, cuite, non salée","61,2","< 0,63","14,4","0,1"
"Gnocchi à la semoule, cuit",185,"5,6","34,4","2,4"
"Gnocchi à la pomme de terre, cuit",177,"5,01","33,6","2,05"
"Gnocchi, cuit (aliment moyen)",181,"6,34",34,"7,88"
"Frik (blé dur immature concassé), cuit, non salé",76,"2,19",14,"0,48"
"Épeautre, cru",344,"15,6","59,5","2,43"
"Blé de Khorasan, cru",342,"15,6","59,5","2,13"
"Blé tendre entier ou froment, cru",-,-,-,-
"Blé germé, cru",211,"8,03","41,4","1,27"
"Blé dur entier, cru",343,13,"62,4","2,24"
"Blé dur précuit, entier, cru",359,"14,7","67,7","1,83"
"Riz blanc, cru",352,"7,4",78,"0,91"
"Riz blanc étuvé, cru",356,"7,47","78,6","0,98"
"Riz complet, cru",350,"7,38","71,4","2,8"
"Riz sauvage, cru",344,"11,7","69,2","0,94"
"Riz rouge, cru",352,"8,38","70,6",3
"Riz thaï ou basmati, cru",353,"8,06","77,8","0,84"
"Riz thaï ou basmati, cuit, non salé",-,3,"28,3",-
"Riz, mélange de variétés (blanc, complet, rouge, sauvage, etc.), cru",355,"7,5","78,1",1
"Maïs entier, cru",346,"8,1","67,2","3,7"
"Avoine, crue",378,"18,1","55,7","6,9"
"Orge entière, crue",334,"13,4","56,2","2,3"
"Orge perlée, crue",346,"10,6","68,6","1,16"
"Mil entier, cru",359,"11,8","64,3","4,21"
"Quinoa, cru",358,"14,1","58,1","6,07"
"Amarante, crue",369,"14,5","58,6","7,02"
"Sorgho entier, cru",349,"10,6","65,4","3,46"
"Sarrasin entier, cru",356,"12,9","64,6","3,55"
"Seigle entier, cru",334,"10,5",61,"1,97"
"Semoule de blé dur, crue",352,12,"71,6","1,25"
"Semoule de blé dur, cuite, non salée",122,"3,75",24,"0,8"
"Mélange de céréales et légumineuses, cru",354,15,59,4
"Polenta ou semoule de maïs, précuite, sèche",350,"7,88",74,"1,8"
"Graine de couscous (semoule de blé dur précuite), crue",365,"13,2","72,7","1,45"
"Boulgour de blé, cru",351,"12,4","66,8","1,71"
"Pâtes sèches standard, crues",336,"12,6","65,8","1,79"
"Pâtes fraîches, aux oeufs, crues",283,"11,1","53,8","1,87"
"Pâtes sèches, aux oeufs, crues",381,"15,2",68,"4,72"
"Pâtes ou nouilles asiatiques au blé et aux oeufs, crues, nature",371,13,71,3
"Pâtes sèches, au blé complet, crues",353,"12,6","67,6","2,2"
"Pâtes sèches, sans gluten, crues",356,"6,61",79,"1,24"
"Vermicelle de riz, sèche",365,"7,81","80,5",1
"Vermicelle de soja, sèche",344,"< 0,63","84,7","0,14"
"Gnocchi à la pomme de terre, cru",176,"4,66",35,"1,42"
"Gnocchi à la semoule, cru",200,"6,2",37,"2,6"
"Frik (blé dur immature concassé), cru",323,"10,3","55,8","2,25"
Pain (aliment moyen),276,"9,01","54,4","1,61"
"Pain, baguette, courante",287,"9,06","58,3","1,4"
"Pain, baguette ou boule, au levain",261,"8,13","53,1","1,3"
"Pain, baguette, de tradition française",279,"8,94","56,6",1
"Pain, baguette ou boule, bis (à la farine T80 ou T110) ",265,"9,43",54,"0,33"
"Pain courant, 400g ou boule",266,"8,67",52,2
"Pain, baguette ou boule, bio (à la farine T55 jusqu'à T110)",257,"9,52","49,9","1,19"
"Pain, baguette ou boule, de campagne",253,"8,25",50,"1,3"
Pain complet ou intégral (à la farine T150),244,"9,19","44,3","1,8"
"Pain de mie, complet",262,"9,33","43,7","4,06"
"Pain de mie, au son",278,"7,5",46,"5,5"
"Pain de mie, multicéréale",274,"9,66","43,6","5,41"
Pain au son,249,"8,8","44,4","2,6"
"Pain de seigle, et froment",260,"9,06","51,5",1
"Pain, sans gluten",261,"2,75","51,8","3,3"
"Pain, baguette, sans sel",279,"9,1","56,5","1,3"
Pain panini,272,"8,4","55,9","1,1"
Pain pita,259,"8,26",53,"0,92"
"Pain de mie, courant",278,"7,81","52,3","3,6"
"Pain de mie, sans croûte, préemballé",271,"8,25","49,5","3,8"
"Pain de mie brioché, préemballé",309,"8,63","52,4","6,5"
"Pain, baguette ou boule, aux céréales et graines, artisanal",269,"10,5","46,9","3,2"
"Muffin anglais, complet, petit pain spécial, préemballé",217,"13,7","32,9","1,87"
"Muffin anglais, petit pain spécial, préemballé",228,"11,6","39,6","1,88"
Bagel,272,"10,2","47,3","3,98"
"Pain pour hamburger ou hot dog (bun), préemballé",293,"9,95","49,7","5,35"
Pain blanc maison (avec farine pour machine à pain),256,"8,56","52,1","0,9"
Pain de campagne maison (avec farine pour machine à pain),240,"8,75","46,7","0,9"
"Pain pour hamburger ou hot dog (bun), complet, préemballé",285,"9,75","46,3","5,75"
"Bretzel, pain frais",330,"10,1","54,6","7,1"
"Tortilla souple (à garnir), à base de maïs",313,"9,06","54,7","5,8"
"Tortilla souple (à garnir), à base de blé",327,"9,15","52,1","8,2"
Blini,-,"5,98","33,7","11,2"
"Pain grillé, domestique",317,"10,4",64,"1,3"
Biscotte classique,409,"10,8","76,6","5,9"
Biscotte briochée,417,"11,9",69,"9,28"
Biscotte sans adjonction de sel,405,"11,4",74,"5,88"
Biscotte multicéréale,398,"12,9","66,7","7,22"
Biscotte complète ou riche en fibres,393,"12,8",67,"6,17"
Crackers de table au froment,450,"8,5",75,12
